step,layer,source_mass,valid_heads,dispersion,disagreement,shift,shift_baseline
0,0,0.3767338655889034,32,6.671667716093447,0.9708669581360221,,
0,1,0.06280742026865482,32,7.041282323557627,0.8060121327941383,,
0,2,0.046356113627552986,32,7.065647792084478,0.6937118365749555,,
0,3,0.03573784418404102,32,6.37911275662776,0.8564926221207019,,
0,4,0.052109599113464355,32,6.144132312835131,0.7832793912472926,,
0,5,0.04089471139013767,32,5.600473736475367,0.9655167437432794,,
0,6,0.050363512709736824,32,6.122649661402081,0.8066808983912512,,
0,7,0.06630929559469223,32,5.594666907216031,0.68142749982899,,
0,8,0.07594856433570385,32,5.340410288837596,0.6263634275229499,,
0,9,0.03869902901351452,32,5.173516529044438,0.7607413988127245,,
0,10,0.0676845870912075,32,5.137040257452641,0.8051769930073922,,
0,11,0.09406082332134247,32,5.360388228287298,0.5849340914260441,,
0,12,0.14471296221017838,32,5.255651251158303,0.42942481773917685,,
0,13,0.1967494823038578,32,5.399714096592869,0.5152669760742707,,
0,14,0.1478047240525484,32,5.556240931176684,0.7768272901501847,,
0,15,0.0943996999412775,32,5.189356826662149,1.1382766849466552,,
0,16,0.0579465851187706,32,5.19757355926214,1.0154692532474172,,
0,17,0.09173974581062794,32,5.925380168457865,0.8733669329646752,,
0,18,0.10408477671444416,32,6.691288694165615,0.7004234261875881,,
0,19,0.09371786378324032,32,6.828639216873918,0.7656588604391574,,
0,20,0.12443861365318298,32,6.682007647202161,0.8600620827961558,,
0,21,0.10220178216695786,32,6.0308749660806535,1.1620253334224904,,
0,22,0.1374096665531397,32,6.299868593015082,1.046775394730294,,
0,23,0.10547538846731186,32,6.736130830176714,0.900916935915367,,
0,24,0.10293596424162388,32,6.408273285790918,1.049154462947281,,
0,25,0.0856246892362833,32,6.248878630256128,1.1965422104425931,,
0,26,0.10231771506369114,32,5.614605713086497,1.1767239244505117,,
0,27,0.07985871285200119,32,6.494751225525779,0.9345638412852422,,
0,28,0.09403690882027149,32,6.224415856818348,1.0954790036247282,,
0,29,0.06926842965185642,32,6.605402656812906,0.8694846256369084,,
0,30,0.17903839610517025,32,6.36616585519892,1.0805333242226425,,
0,31,0.07345188036561012,32,6.889067798315849,0.9176186111393365,,
1,0,0.33285682275891304,32,6.606171933200182,0.8651999385961098,0.35395789408236944,
1,1,0.09038332477211952,32,6.983161803887279,0.9175457714306923,0.37061987580595335,
1,2,0.05711442045867443,32,6.364719471204599,1.129743234188605,0.4975555285592349,
1,3,0.04570064879953861,32,7.019877360526946,0.7306581614778045,0.3926704724369858,
1,4,0.08149207942187786,32,6.5465457129547,0.9187591160780979,0.35291417177572015,
1,5,0.1025424487888813,32,6.016191320974223,1.117258429716384,0.47391261608218277,
1,6,0.06504730693995953,32,6.067548024549484,0.8624744630515799,0.34115399868831797,
1,7,0.09194560535252094,32,6.020199268408607,0.6820938614433656,0.3553513340664645,
1,8,0.08044557273387909,32,5.980638470974299,0.7177736801427361,0.32649230857347183,
1,9,0.061180371791124344,32,5.815507642649249,0.8265624026118532,0.3044871314014328,
1,10,0.13140720129013062,32,5.7183141543291605,0.9326980046253759,0.42437324839227386,
1,11,0.1910117156803608,32,6.325725516062001,0.5957015850592375,0.4134694202137883,
1,12,0.16830403730273247,32,5.740163835888453,0.44261261848323663,0.30054254945683656,
1,13,0.27821193262934685,32,6.100343206107552,0.5400716192632151,0.3499129784960855,
1,14,0.23674690164625645,32,5.412877166884915,0.9718463118172256,0.37685358838989375,
1,15,0.2030682023614645,32,5.8659757940947905,1.1878193825382173,0.5100521384611649,
1,16,0.1603846736252308,32,5.6780597364989225,1.0036247661675342,0.4652873736567206,
1,17,0.16154387965798378,32,6.250429496096631,0.9816890290850075,0.368913615592656,
1,18,0.11759929545223713,32,6.478145829740207,0.7490140614389542,0.33305521343347605,
1,19,0.10361909866333008,32,6.580033971307797,0.868797544121044,0.344167740170098,
